Designator,Mid X,Mid Y,Rotation,Layer
R116,246.2973,-287.9476,90.0,top
R117,244.5701,-287.9476,90.0,top
R118,242.8429,-287.9476,270.0,top
R119,91.1405,-325.7154,270.0,top
R12,209.1479,-124.492,0.0,top
R120,93.5657,-326.4398,180.0,top
R121,178.0319,-324.2046,0.0,top
R122,183.8723,-327.4436,90.0,top
R123,182.2213,-327.4436,90.0,top
R124,180.5703,-327.4436,270.0,top
R125,209.2099,-324.2046,0.0,top
R126,215.1233,-327.4658,90.0,top
R127,213.4469,-327.4902,90.0,top
R128,211.7197,-327.4658,270.0,top
R129,240.2365,-324.2554,0.0,top
R13,180.5009,-167.324,270.0,top
R130,246.2939,-327.4944,90.0,top
R131,244.5667,-327.4944,90.0,top
R132,242.8395,-327.4944,270.0,top
R14,209.1405,-164.085,0.0,top
R15,215.0539,-167.3462,90.0,top
R16,215.0613,-127.7532,90.0,top
R17,213.3849,-127.7776,90.0,top
R18,211.6577,-127.7532,270.0,top
R19,240.1745,-124.5428,0.0,top
R2,93.4963,-166.3202,180.0,top
R20,246.2319,-127.7818,90.0,top
R21,244.5047,-127.7818,90.0,top
R22,242.7775,-127.7818,270.0,top
R23,213.3775,-167.3706,90.0,top
R24,211.6503,-167.3462,270.0,top
R25,240.1671,-164.1358,0.0,top
R26,246.2245,-167.3748,90.0,top
R27,244.4973,-167.3748,90.0,top
R28,242.7701,-167.3748,270.0,top
R29,91.1433,-206.3872,270.0,top
R3,177.9625,-164.085,0.0,top
R30,93.5685,-207.1116,180.0,top
R31,178.0347,-204.8764,0.0,top
R32,183.8751,-208.1154,90.0,top
R33,182.2241,-208.1154,90.0,top
R34,180.5731,-208.1154,270.0,top
R35,142.693,-107.569,180.0,top
R36,142.693,-103.082,180.0,top
R37,142.646,-99.145,180.0,top
R38,142.693,-95.208,180.0,top
R39,182.0485,-98.425,180.0,top
R4,183.8029,-167.324,90.0,top
R40,182.0485,-94.488,180.0,top
R41,219.0095,-98.552,180.0,top
R42,219.0095,-94.615,180.0,top
